Market Return (Buy and Hold),Strategy Total Return,Sharpe Ratio,Maximum Drawdown,Number of Trades,Win Rate,Fast SMA,Slow SMA
3.463006152778667,3.988678177226986,1.3559969371025034,-0.21890490694495893,13,0.5568743818001978,30,100
3.5561768515520127,3.7231293048886105,1.3007936013892212,-0.2635439493958481,13,0.5554465161923454,30,90
4.227462310741954,3.583743502505804,1.251729854694404,-0.26749412053641564,21,0.5453639082751744,10,70
3.5936074595185543,3.4010899166671464,1.2484710445390514,-0.2811830875808811,13,0.5526057030481809,30,95
3.940700195941216,3.2832821824521323,1.2232599321126856,-0.295864994324941,13,0.5526315789473685,30,80
4.227462310741954,3.3279808667157704,1.2197917377794292,-0.3211250527203675,15,0.550880626223092,30,70
3.463006152778667,3.168658655514357,1.204743555284412,-0.24048874125660308,15,0.5515515515515516,20,100
3.9314293768113453,3.1863001027638624,1.203592756524255,-0.30815132401300976,15,0.5502439024390244,30,75
3.787978181923571,3.123035769732022,1.1976904710287846,-0.3083950228174121,13,0.5533790401567091,30,85
3.9314293768113453,3.17175414246839,1.1824766517829135,-0.2973090721263243,25,0.5437375745526839,5,75
4.646489900293212,3.164817439626993,1.1772452211125062,-0.3077496393898486,23,0.5422045680238332,10,65
3.463006152778667,2.990736067534823,1.176447766284646,-0.27379140157655873,15,0.5534653465346535,25,100
3.787978181923571,3.0914375472713997,1.1752564905953775,-0.23834279121671487,25,0.5421209117938554,5,85
3.9314293768113453,3.0599021271889626,1.1619614482036886,-0.26410907810853973,21,0.5419161676646707,10,75
3.463006152778667,2.871431081010181,1.1502233609969514,-0.21542348545018075,25,0.5451776649746193,5,100
3.5561768515520127,2.9443597110579,1.1500729970226435,-0.23031861611928234,25,0.5432835820895522,5,90
3.5936074595185543,2.8953726878064248,1.1480581526222293,-0.2588455758814642,15,0.548162859980139,20,95
3.5936074595185543,2.8579434385005045,1.1401594125817769,-0.22342815256838278,31,0.5425425425425425,5,95
4.227462310741954,2.911407860325035,1.1302487911988395,-0.3690327664082621,19,0.5494186046511628,25,70
3.5936074595185543,2.8301284998037444,1.1292909186439442,-0.3097108018795131,15,0.5542406311637081,25,95
3.940700195941216,2.7970425905589313,1.123799591251487,-0.34063331436109673,17,0.5512820512820513,25,80
4.423673970141472,2.933458112709157,1.1208045921379266,-0.3552109459214172,27,0.5409356725146199,10,60
3.940700195941216,2.8119679539993454,1.118923783754835,-0.30913764623723117,25,0.5412935323383085,5,80
4.227462310741954,2.8299535735872654,1.118087895465277,-0.3427276614635381,31,0.5412935323383085,5,70
4.673714831472592,2.616455441197257,1.1055485094628874,-0.2469540396197062,27,0.5409836065573771,30,55
3.787978181923571,2.6751449038378787,1.1015353422465661,-0.2953260590204271,19,0.547808764940239,20,85
3.5561768515520127,2.616660530120606,1.0938891528142205,-0.35899288441615357,15,0.5509396636993076,25,90
3.5561768515520127,2.5520324043613187,1.0809859277152787,-0.27335250135213635,17,0.5474525474525475,20,90
3.9314293768113453,2.6027423155658953,1.077932612735854,-0.334343578899463,19,0.5480392156862746,25,75
3.940700195941216,2.5691204757926247,1.0738159273623564,-0.3343651785669511,19,0.5469831849653808,20,80
4.646489900293212,2.4178275135276275,1.042386802315588,-0.39547155745841905,19,0.5445544554455446,30,65
4.646489900293212,2.4664698057433383,1.037684683409304,-0.3678946519311585,35,0.5383104125736738,5,65
3.797300542497852,2.4957718882574347,1.035445194549253,-0.37951695564222443,27,0.5417085427135678,20,45
3.940700195941216,2.3867435005240902,1.0290439136953955,-0.29759779273663733,21,0.5379241516966068,10,80
4.227462310741954,2.3825627574099237,1.0215975632389063,-0.2865822012621236,21,0.5375494071146245,15,70
4.646489900293212,2.3759491975148017,1.0167230716683575,-0.31385518229904397,23,0.5359605911330049,15,65
3.9314293768113453,2.340075474699359,1.0163329641796073,-0.37988792353461437,19,0.5447394296951819,20,75
3.787978181923571,2.256678418043343,1.0146073845944255,-0.38308123034697716,17,0.5478775913129319,25,85
4.423673970141472,2.243723207670059,1.013976633030939,-0.3454053390954883,21,0.541,30,60
3.5936074595185543,2.2840217854713254,1.0096489973748828,-0.31196687749055046,21,0.5397784491440081,10,95
